application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,status_id
M103A36,1401,CY,GEN,4,t,t,2
M103X16,1303,PH,GEN,5,t,t,2
M109W18,1802,BT,GEN,1,f,t,2
M101N86,1703,PH,GEN,4,t,t,2
M108K36,1302,MA,OBC,1,t,t,2
M107D18,1602,GG,GEN,3,t,t,2
M105C73,1401,CY,GEN,2,t,t,2
M103N13,1701,CY,OBC,1,f,t,2
M104A43,2402,PH,GEN,8,t,t,2
M101N17,1702,MA,GEN,1,f,t,3
M105W24,1205,CY,OBC,1,f,t,2
M111V63,1603,MA,GEN,2,t,t,2
M104B45,1303,PH,OBC,1,f,t,2
M114R25,1205,CY,GEN,1,f,t,2
M101A74,1503,PH,SC,2,t,t,2
M108U74,1302,MA,SC,3,t,t,2
M105W92,1501,CY,GEN,1,f,t,2
M107S58,1701,CY,GEN,2,t,t,2
M101D42,1211,CY,GEN,2,t,f,2
M115P64,1401,CY,OBC,1,f,t,2
M104F42,1403,PH,GEN,5,t,t,2
M107E80,2101,CY,GEN,6,t,t,2
M106A59,1504,MS,GEN,1,f,t,2
M102C89,1504,MS,GEN,1,f,t,2
M107V49,1211,CY,OBC,2,f,t,2
M107G75,1703,PH,OBC,3,t,f,2
M117R70,1302,MA,GEN,1,f,t,2
M109Q96,1603,MA,SC,2,f,t,2
M108F90,1502,MA,OBC,3,t,t,2
M112E94,1604,PH,GEN,3,t,t,2
M107M34,1703,PH,GEN,2,t,t,3
M109J10,1401,CY,OBC,4,t,t,2
M101Z12,1703,PH,OBC,8,t,t,2
M101T64,1302,MA,GEN,2,f,t,2
M101V78,1214,MS,GEN,3,t,f,2
M101H53,1803,CY,OBC,5,t,t,2
M103N60,1203,MS,GEN,1,f,t,2
M105P13,1605,PH,GEN,2,t,t,2
M101Y36,1604,PH,GEN,3,t,t,2
M119V94,1504,MS,SC,3,t,t,2
M106J26,1301,CY,GEN,5,t,t,2
M108T11,1502,MA,SC,2,t,t,2
M105W89,1501,CY,OBC,1,f,t,2
M102V93,1205,CY,GEN,2,t,t,2
M109K80,1701,CY,GEN,4,t,t,2
M110T96,1501,CY,SC,1,f,t,2
M104V74,1701,CY,GEN,4,t,t,2
M102H24,1602,GG,GEN,2,f,t,2
M102A17,1207,PH,OBC,2,f,f,2
M107G81,1702,MA,GEN,3,t,t,2
M106K91,2102,MA,OBC,9,t,t,2
M103M66,1301,CY,GEN,3,t,t,2
M102A61,2402,PH,GEN,23,t,t,2
M120U11,1803,CY,OBC,2,t,t,2
M120H32,1303,PH,GEN-PwD,3,t,t,2
M108Z93,1601,CY,GEN,4,t,f,2
M109F65,1502,MA,OBC,2,t,t,2
M111U96,1301,CY,OBC,1,t,t,2
M117A21,1402,MA,ST,1,f,t,2
M114A35,1802,BT,GEN,3,t,t,2
M101H20,1505,PH,GEN,2,f,f,2
M103M72,1504,MS,OBC,1,t,t,2
M105D95,1205,CY,GEN,2,f,t,2
M106N57,1605,GG,SC,3,t,t,2
M107K57,1904,GG,GEN,3,t,t,2
M111G44,1303,PH,SC,2,f,t,2
M109A29,1804,MA,GEN,3,t,t,2
M107T61,1401,CY,OBC,6,t,t,2
M104V90,1803,CY,GEN,4,t,t,2
M113B86,2101,CY,OBC,6,t,f,2
M102K75,1702,MA,SC,6,t,t,2
M106J24,1501,CY,OBC,2,t,t,2
M103X51,1702,MA,ST,3,t,t,2
M108E38,1302,MA,GEN,2,t,t,2
M105B46,2303,PH,GEN,9,t,t,2
M104Y40,1701,CY,GEN,4,t,t,2
M106M74,1201,GG,OBC,1,f,t,2
M112V44,1301,CY,SC,2,t,t,2
M104Y91,1214,MA,OBC,3,t,t,2
M102V65,1605,PH,OBC,4,t,t,2
M107A79,1401,CY,GEN,2,t,t,2
M105F23,1601,CY,SC,1,f,t,2
M104W32,1603,MA,SC,1,f,t,2
M107B53,1207,PH,SC,4,f,t,2
M116T65,2101,CY,ST,7,t,t,2
M112F32,2303,PH,GEN,13,t,t,3
M103W40,1205,CY,OBC,1,f,t,3
M107H78,1206,MA,ST,1,f,t,3
M102Q65,1702,MA,OBC,4,t,t,2
M102N50,2403,MA,GEN,15,t,t,2
M107C41,1804,MA,SC,2,t,t,2
M106E68,1702,MA,SC,4,t,t,2
M111D44,1504,MS,OBC,2,f,t,2
M107X19,1402,MA,OBC,5,t,f,2
M109G68,1702,MA,OBC,4,t,t,2
M104D90,1403,PH,GEN,3,t,t,2
M104M99,1214,MS,OBC,2,t,f,2
M103H95,2103,PH,GEN,7,t,f,2
M104W12,1601,CY,GEN,3,f,t,2
M106B32,1402,MA,GEN,7,t,t,2
M113F85,2303,PH,SC,3,t,f,2
M117X55,1401,CY,OBC,4,t,f,2
M121Y66,2001,CY,GEN,8,t,t,2
M105A93,1302,MA,OBC,3,t,t,2
M112C45,1804,MA,GEN,4,t,t,2
M110C80,1801,GG,OBC,2,f,t,2
M104A36,1703,PH,GEN,3,f,t,2
M107N13,1904,GG,GEN,5,t,t,2
M107K68,1605,GG,GEN,1,f,t,2
M105N65,1804,MA,OBC,1,t,t,2
M107C88,1211,CY,GEN,2,t,t,2
M102D76,1605,PH,SC,3,t,t,2
M110Q36,1302,MA,ST,1,f,t,2
M111J55,1504,MS,GEN,1,f,t,2
M105H73,1904,GG,GEN,4,t,t,2
M111E93,2003,PH,OBC,9,t,t,2
M102E35,1802,BT,OBC,1,f,t,2
M105H81,1701,CY,OBC,3,t,t,2
M111P89,1601,CY,GEN,1,f,t,2
M118U24,1101,BT,SC,1,t,t,2
M108G26,1702,MA,GEN,4,t,t,2
M106T76,1206,MA,OBC,1,f,t,2
M109Y98,2103,PH,GEN,7,t,t,2
M107S20,1702,MA,OBC,3,t,t,2
M110T51,1401,CY,OBC,6,t,t,2
M102M24,1302,MA,GEN,4,t,t,2
M107D21,1801,GG,GEN,3,t,t,2
